Date,Consensus Mean,Consensus High,Consensus Low,Actual,,,,
Apr-22-2020,5.07,6,4.64,4.7,,,,
Apr-23-2020,5.07,6,4.64,4.7,,,,
Apr-24-2020,5.07,6,4.64,4.75,,,,
Apr-25-2020,5.07,6,4.64,4.75,,,,
Apr-26-2020,5.07,6,4.64,4.75,,,,
Apr-27-2020,5.07,6,4.64,4.81,,,,
Apr-28-2020,5.07,6,4.64,4.82,,,,
Apr-29-2020,5.07,6,4.64,4.96,,,,
Apr-30-2020,5.07,6,4.64,4.92,,,,
May-01-2020,5.07,6,4.64,4.83,,,,
May-02-2020,5.07,6,4.64,4.83,,,,
May-03-2020,5.07,6,4.64,4.83,,,,
May-04-2020,5.07,6,4.64,4.86,,,,
May-05-2020,5.07,6,4.64,4.91,,,,
May-06-2020,5.07,6,4.64,4.82,,,,
May-07-2020,5.2,6,4.7,4.92,,,,
May-08-2020,5.2,6,4.7,4.92,,,,
May-09-2020,5.2,6,4.7,4.92,,,,
May-10-2020,5.19,6,4.7,4.92,,,,
May-11-2020,5.18,6,4.7,4.85,,,,
May-12-2020,5.18,6,4.7,4.73,,,,
May-13-2020,5.18,6,4.7,4.72,,,,
May-14-2020,5.18,6,4.7,4.6,,,,
May-15-2020,5.18,6,4.7,4.74,,,,
May-16-2020,5.18,6,4.7,4.74,,,,
May-17-2020,5.18,6,4.7,4.74,,,,
May-18-2020,5.18,6,4.7,4.69,,,,
May-19-2020,5.18,6,4.7,4.6,,,,
May-20-2020,5.18,6,4.7,4.65,,,,
May-21-2020,5.18,6,4.7,4.59,,,,
May-22-2020,5.18,6,4.7,4.43,,,,
May-23-2020,5.18,6,4.7,4.43,,,,
May-24-2020,5.18,6,4.7,4.43,,,,
May-25-2020,5.18,6,4.7,4.51,,,,
May-26-2020,5.18,6,4.7,4.56,,,,
May-27-2020,5.18,6,4.7,4.51,,,,
May-28-2020,5.18,6,4.7,4.75,,,,
May-29-2020,5.18,6,4.7,4.71,,,,
May-30-2020,5.18,6,4.7,4.71,,,,
May-31-2020,5.18,6,4.7,4.71,,,,
Jun-01-2020,5.18,6,4.7,4.59,,,,
Jun-02-2020,5.18,6,4.7,4.59,,,,
Jun-03-2020,5.18,6,4.7,4.59,,,,
Jun-04-2020,5.18,6,4.7,4.58,,,,
Jun-05-2020,5.18,6,4.7,4.6,,,,
Jun-06-2020,5.18,6,4.7,4.6,,,,
Jun-07-2020,5.18,6,4.7,4.6,,,,
Jun-08-2020,5.18,6,4.7,4.6,,,,
Jun-09-2020,5.18,6,4.7,4.75,,,,
Jun-10-2020,5.18,6,4.7,4.7,,,,
Jun-11-2020,5.18,6,4.7,4.5,,,,
Jun-12-2020,5.18,6,4.7,4.48,,,,
Jun-13-2020,5.18,6,4.7,4.48,,,,
Jun-14-2020,5.18,6,4.7,4.48,,,,
Jun-15-2020,5.15,6,4.7,4.4,,,,
Jun-16-2020,5.15,6,4.7,4.79,,,,
Jun-17-2020,5.15,6,4.7,4.85,,,,
Jun-18-2020,5.15,6,4.7,4.77,,,,
Jun-19-2020,5.15,6,4.7,5.04,,,,
Jun-20-2020,5.15,6,4.7,5.04,,,,
Jun-21-2020,5.15,6,4.7,5.04,,,,
Jun-22-2020,5.15,6,4.7,5.06,,,,
Jun-23-2020,5.15,6,4.7,4.89,,,,
Jun-24-2020,5.15,6,4.7,4.85,,,,
Jun-25-2020,5.15,6,4.7,4.66,,,,
Jun-26-2020,5.15,6,4.7,4.71,,,,
Jun-27-2020,5.15,6,4.7,4.71,,,,
Jun-28-2020,5.15,6,4.7,4.71,,,,
Jun-29-2020,5.15,6,4.7,4.59,,,,
Jun-30-2020,5.15,6,4.7,4.61,,,,
Jul-01-2020,5.15,6,4.7,4.63,,,,
Jul-02-2020,5.11,5.82,4.7,4.84,,,,
Jul-03-2020,5.11,5.82,4.7,4.82,,,,
Jul-04-2020,5.11,5.82,4.7,4.82,,,,
Jul-05-2020,5.11,5.82,4.7,4.82,,,,
Jul-06-2020,5.11,5.82,4.7,4.69,,,,
Jul-07-2020,5.11,5.82,4.7,4.72,,,,
Jul-08-2020,5.11,5.82,4.7,4.63,,,,
Jul-09-2020,5.11,5.82,4.7,4.64,,,,
Jul-10-2020,5.11,5.82,4.7,4.65,,,,
Jul-11-2020,5.11,5.82,4.7,4.65,,,,
Jul-12-2020,5.1,5.82,4.7,4.65,,,,
Jul-13-2020,5.1,5.82,4.7,4.64,,,,
Jul-14-2020,5.1,5.82,4.7,4.67,,,,
Jul-15-2020,5.1,5.82,4.7,4.76,,,,
Jul-16-2020,5.11,5.82,4.7,4.67,,,,
Jul-17-2020,5.11,5.82,4.7,4.65,,,,
Jul-18-2020,5.11,5.82,4.7,4.65,,,,
Jul-19-2020,5.11,5.82,4.7,4.65,,,,
Jul-20-2020,5.11,5.82,4.7,4.64,,,,
Jul-21-2020,5.11,5.82,4.7,4.71,,,,
Jul-22-2020,5.11,5.82,4.7,4.63,,,,
Jul-23-2020,5.11,5.82,4.7,4.68,,,,
Jul-24-2020,5.11,5.82,4.7,4.63,,,,
Jul-25-2020,5.11,5.82,4.7,4.63,,,,
Jul-26-2020,5.11,5.82,4.7,4.63,,,,
Jul-27-2020,5.08,5.82,4.7,4.49,,,,
Jul-28-2020,5.09,5.88,4.7,4.5,,,,
Jul-29-2020,5.11,5.88,4.7,4.42,,,,
Jul-30-2020,5.11,5.88,4.7,4.56,,,,
Jul-31-2020,5.11,5.88,4.7,4.43,,,,
Aug-01-2020,5.11,5.88,4.7,4.43,,,,
Aug-02-2020,5.11,5.88,4.7,4.43,,,,
Aug-03-2020,5.11,5.88,4.7,4.49,,,,
Aug-04-2020,5.11,5.88,4.7,4.54,,,,
Aug-05-2020,5.11,5.88,4.7,4.42,,,,
Aug-06-2020,5.11,5.88,4.7,4.47,,,,
Aug-07-2020,5.11,5.88,4.7,4.46,,,,
Aug-08-2020,5.11,5.88,4.7,4.46,,,,
Aug-09-2020,5.11,5.88,4.7,4.46,,,,
Aug-10-2020,5.11,5.88,4.7,4.65,,,,
Aug-11-2020,5.11,5.88,4.7,4.66,,,,
Aug-12-2020,5.11,5.88,4.7,4.68,,,,
Aug-13-2020,5.11,5.88,4.7,4.62,,,,
Aug-14-2020,5.11,5.88,4.7,4.63,,,,
Aug-15-2020,5.11,5.88,4.7,4.63,,,,
Aug-16-2020,5.11,5.88,4.7,4.63,,,,
Aug-17-2020,5.11,5.88,4.7,4.66,,,,
Aug-18-2020,5.11,5.88,4.7,4.64,,,,
Aug-19-2020,5.11,5.88,4.7,4.92,,,,
Aug-20-2020,5.11,5.88,4.7,4.84,,,,
Aug-21-2020,5.11,5.88,4.7,4.81,,,,
Aug-22-2020,5.11,5.88,4.7,4.81,,,,
Aug-23-2020,5.11,5.88,4.7,4.81,,,,
Aug-24-2020,5.02,5.95,4.6,4.53,,,,
Aug-25-2020,5.06,5.95,4.6,4.62,,,,
Aug-26-2020,5.06,5.95,4.6,4.64,,,,
Aug-27-2020,5.06,5.95,4.6,4.65,,,,
Aug-28-2020,5.06,5.95,4.6,4.65,,,,
Aug-29-2020,5.06,5.95,4.6,4.65,,,,
Aug-30-2020,5.06,5.95,4.6,4.65,,,,
Aug-31-2020,5.1,5.95,4.6,4.61,,,,
Sep-01-2020,5.1,5.95,4.6,4.51,,,,
Sep-02-2020,5.1,5.95,4.6,4.54,,,,
Sep-03-2020,5.1,5.95,4.6,4.5,,,,
Sep-04-2020,5.1,5.95,4.6,4.41,,,,
Sep-05-2020,5.1,5.95,4.6,4.41,,,,
Sep-06-2020,5.1,5.95,4.6,4.41,,,,
Sep-07-2020,5.07,5.95,4.6,4.28,,,,
Sep-08-2020,5.07,5.95,4.6,4.33,,,,
